EventID,Type,Timestamp,Username,Domain,LogonType,SourceIP,Workstation
4624,SUCCESS,2026-05-14 03:50:14.578533+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:14.684299+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:14.754911+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:14.775608+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:14.903368+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:15.180012+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:15.181046+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:15.182594+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:15.224501+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:15.241245+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:15.293144+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:15.339067+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:15.347054+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:15.390560+00:00,IUSR,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:15.441908+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:15.475723+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:15.719351+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:17.204777+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:17.966999+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:17.967001+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:17.967443+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:17.967463+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:18.401892+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:19.107853+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:19.383163+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:19.415306+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:20.365025+00:00,acer,MN-PC,2,N/A,MN-PC
4624,SUCCESS,2026-05-14 03:50:20.365044+00:00,acer,MN-PC,2,N/A,MN-PC
4624,SUCCESS,2026-05-14 03:50:20.823910+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:21.264845+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:21.360067+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:21.551826+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:21.956614+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:21.963917+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:23.456919+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:27.657078+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:27.668530+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:27.671659+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:27.705259+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:27.708027+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:27.747185+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:27.749468+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:27.772024+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:27.774723+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:27.825857+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:27.835674+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:27.838682+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:27.852242+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:27.854744+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:27.883913+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:27.888435+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:27.936899+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:27.939695+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:28.024458+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:28.031096+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:28.033434+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:28.046192+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:28.048506+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:28.079727+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:28.083908+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:28.107298+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:28.109919+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:28.511257+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:28.517126+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:28.520105+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:28.537571+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
4624,SUCCESS,2026-05-14 03:50:28.540493+00:00,SYSTEM,NT AUTHORITY,5,N/A,-
